uuid,text_data
aebbed60-9d6d-4fd8-b4c2-ce747a609d26," need for emergency roadside phones fell by the wayside with the emergenc e of and widespread adoption of mobile phones. W hile dynamic messaging signage (DMS) is a prominent safety - and communication- technology in widespread use today, with the advent of connected and automated vehicles and C2VX (cellular vehicle- to-everything) enabling real -time communications with drivers, some organizations are rethinking future investments in DMS. The toll industry also needs to reconsider its role in the future mobility ecosystem by delivering services and products differently ; otherwise, t hey may see their role reconfigured, dimi nished, or perhaps become altogether irrelevant . Today’s roadways mostly enable people to go from point A directly to point B typically using one mode of travel. In the future, roadways will likely evolve into integrated mobility systems that support multi -modal tr ips from Point A to Point B and then to Point C with the ability to pay for the entire trip in one single transaction"
aebbed60-9d6d-4fd8-b4c2-ce747a609d26," (tolls, mode, parking and other fees) . The industry needs to be careful, selective, and strategic in decisions about investing in technology without a clear lifecycle and it also needs a seat at the table with regards to defining, preparing for, and delivering the mobility system of tomorrow. 1 National Academies of Sciences, Engineering, and Medicine. 2019. Guide to Creating and Sustaining a Culture of Innovation for Departments of Transportation. Washington, DC: The National Academies Press. https ://doi.org/10.17226/25307 . Emerging Technologies Committee Building Innovat ion Capacity : Toll Industry Practice And Trends 3 of 23 The toll industry is facing a grand opportunity to play a key role in shaping, direct ing and deliver ing the future mobility ecosystem ; being open to change and moving decisively is key. IBTTA member organizations are already moving in this direction. Historically, toll agencies rely heavily on technology for most if not all of its operations —from back office, payments and"
aebbed60-9d6d-4fd8-b4c2-ce747a609d26," collections, to traffic management, to customer service. M oving forward goes beyond an embracement of technology. This scan shows that organizations are increasingly adopting innovation as a strategy for embracing change and are creating a culture that speeds the rate at which relevant ideas , technologies, and opportunities are shar ed, accepted and put into practice. Building a culture of innovation can be challenging particularly in the public sector where a “we’ve always done it this way” mentality exists, and resources are limited and already stretched. Many organizations are overcoming this challenge and are making great strides in building their capacity for innovation. This section presents seven broad observations that were drawn from this industry scan: There’s not a “one size fits all” approach to innovation. Emerging technology is driving organizations to reconsider their approach to innovation. It is becoming increasingly “need -driven.” Organizations with successful programs have executive"
aebbed60-9d6d-4fd8-b4c2-ce747a609d26," leadership support and a formal commitment from leaders at all levels to make innovation a priority. Making innovation viable and sustainable requires embedding it into the organizational culture and within a structured environment. Data is a critical component of innovation programs; organizations are increasingly recognizing the importance of data centralization (and data sharing) and the need for specialized staff t o support them. Innovative organizations recognize the need for physical infrastructure and/or cooperative partnerships to deploy productive demonstrations. Technology -driven innovation calls for flexible procurement processes. Each of these findings is briefly discussed below. For each, examples from peer organizations are provided. 1 3 4 5 6 2 7 Emerging Technologies Committee Building Innovat ion Capacity : Toll Industry Practice And Trends 4 of 23 There’s not a “one size fits all” approach to innovation. Organizations make the decision to innovate for purposes that are based on specific"
aebbed60-9d6d-4fd8-b4c2-ce747a609d26," needs and strategic priorities. In addition to the organization need, innovation programs may also be driven by consumer demand, operational needs or trends, and newly emerging technologies , policies and practices. Grounded in an understanding of need, innovation programs can vary widely across organizations, and over time, programs may adapt and evolve as needs shift . The best approach to encourage innovation will look significantly different from one organization to another depending on organizational structure, leadership vision and culture, history of innovation, priorities, financial position, and other factors. Building an innovation program should be considered as an iterative or evolving process. Waiting to “get it right” misses the point of innovation. Merely following another organization’s approach and f ailing to be open to different methods could result in limited outcomes or narrowed innovations. Many of the organizations included in this industry scan have modified the structures of their"
aebbed60-9d6d-4fd8-b4c2-ce747a609d26," innovation teams over time based on their shifting priorities and organizational climate, but also as their capacities and talent base grows. A key to successful innovation is being flexible and allowing programs to evolve over time . In a performance- driven environment where meeting goals and demonstrating tangible gains is paramount, this is a challenge many organizations face early in their innovation journey s. It takes a risk tolerant environment, an experiment al culture and dedicated resources and staff with a personal commitment to grow innovation right. Each organization will define its own unique program , develop tailored innovation practices, and try out a blend of different approaches to address their own circumstances . Highlights:  The North Texas Tollway Authority (NTTA) previously had a consolidated formal innovation program, but they found that this approach actually stifled innovation due to increased bureaucracy. In response, NTTA decentralized the program by embedding innovation"
aebbed60-9d6d-4fd8-b4c2-ce747a609d26," initiatives into each individual department. This new approach decreases bureaucracy and allows each department to tailor innovation processes to their specific needs.  Conversely, t he Maryland Transportation Authority (MDTA) is in the process of centralizing their innovation program; what used to be known as the NG (or Next Generation) team is now the 3G (referring to the Third Generation toll system) team, and MDTA plans to transition this team into a new Office of Innovation that will collaborate across departments to roll out new technology solutions. 1 Emerging Technologies Committee Building Innovat ion Capacity : Toll Industry Practice And Trends 5 of 23 Emerging technology is driving organizations to reconsider their approach to innovation. It is becoming increasingly “need- driven.” Having been relatively stable for years, the tolling industry is poised for change with emerging technology as a driving force. Surviving in a rapidly changing environment demands new responses and ways of thinking."
aebbed60-9d6d-4fd8-b4c2-ce747a609d26," Organizations are embracing innovation as one response to this pressure; they are using innovation to reframe their approach to the industry , and their roles within the industry . Along the way, they are discovering new ways to improve business processes, operations, and customer service. At the same time, innovation practitioners are adopting a new mindset when it comes to technology. Rather than view emerging technology as a “shiny new object” that might be fun to try out , they are first defining the problem or customer need and then seeking out the technology to best address es or solve the problem. Another mindset change that comes with technology adoption is associated with the “fail fast” approach to innovat ion. According to a 2018 Forbes Article2, repeating the fast failure approach helps organizations achieve a desired outcome faster than trying to perfect a product or service (and save money spent on custom ization or making adjustments in operations or internal processes to accommodate the"
aebbed60-9d6d-4fd8-b4c2-ce747a609d26," product or service). Rather, get a product or service out there, fail fast and learn from your mistakes , and quickly pivoting and getting a slightly different product or service to better suit the need. Finally , aligning innovation- related decision making with strategic priorities is becoming an essential practice . Resulting initiatives , including those involving emergi ng technology , are matched with a clear opportunit y to address a business, operational, or customer need. Highlights:  Both the Ohio Turnpike and Infrastructure Commission (Ohio Turnpike) and the Pennsylvania Turnpike Commission ( PTC) have instituted i nnovation teams that encompass both business process improvements and technology as core focus areas . PTC’s council is established through formal policy to ensure its longevity within the organization.  ASFINAG has elevated Innovation as a core business strategy with six fields of action that include building a culture of innovation, adopting technology solutions, and creating"
aebbed60-9d6d-4fd8-b4c2-ce747a609d26," processes to ensure innovation is built into day -to-day business processes.  At NTTA , innovation projects are selected with the organization’s core mission in mind and are prioritized through negotiation across departmental leaders rather than a formal prioritization framework. As an example, information technology (IT) is one area where there are often competing needs across departments. To address issues across multiple departments, NTTA has set up an IT counsel to serve as a venue for prioritizing IT needs 2 See https://www.forbes.com/sites/sunniegiles/2018/04/30/how -to-fail-faster -and-why -you-should/?sh=b7b4e4cc1779 2 Emerging Technologies Committee Building Innovat ion Capacity : Toll Industry Practice And Trends 6 of 23 across the organization. As with other initiatives, elements that prioriti ze the agency’s core mission and goals are prioritized. All other IT needs are negotiated and distributed in turn to avoid some departments being favored over others.  Some organizations, such as the"
aebbed60-9d6d-4fd8-b4c2-ce747a609d26," Tampa- Hillsborough Expressway Authority ( THEA ), have approached innovation with a more technology -centric focus. They are exploring new connected corridor and connected vehicle technology solutions which align with strategic goals and objectives. Advising not to get too sold on one technology, THEA matches the technology to the need. They are on the third technology attempt related to pedestrian detection / crosswalk analytic s.  The E-470 Public Highway Authority (E -470) approached innovation from a business process perspective (e.g., they hired staff to manage and set up a process for innovation) and is using their established innovation process to garner new ideas and technology solutions. Organizations with successful programs have executive leadership support and a formal comm itment from leaders at all levels to make innovation a priority. One benefit of this industry scan was the opportunity to learn about what other organizations believe to be sound foundational strategies for innovation. Our"
aebbed60-9d6d-4fd8-b4c2-ce747a609d26," surveys and interviews demonstrated that the best starting point is to identify an “innovation owner” who has the highest level of interest (and ideally, funding authority ) to launch an innovation system or program that strategically aligns with business goals. Ideally, that person has the complete support of or is a member of the executive leadership team and can propel innovation forward so that it becomes an integral part of the organization’s culture, standard process, and/or everyday work. For innovation to take root within an organization, leaders at all levels must make a visible commitment to make innovation a priority . They also connect progress towards strategi c goals with the ability to innovate. The industry scan showed that innovation champions in the toll industry are typically an Executive Director or a senior officer (e.g., Deputy Executive Director, Chief Innovation Officer, Chief Information Officer or Chief Technology Officer) but they can also be individuals that work anywhere in the"
aebbed60-9d6d-4fd8-b4c2-ce747a609d26," organization including in director or senior management posi tions , line management roles, and other staff . The key is that they can shape or influence the core operations of an organization with a focus on supporting innovation. Within the tolling industry, commitment to innovation is often initiated and bolstered through the strategic planning process which is built around a mission, vision and core values which emphasize the importance of innovation. 3 Emerging Technologies Committee Building Innovat ion Capacity : Toll Industry Practice And Trends 7 of 23 Highlights:  In 2016, E -470’s Executive Director in partnership with the agency’s Board of Director s incorporated a Strategic Plan, mission and core values that support tec hnology and innovation objectives . Subsequent to the strategic plan, a structure was put into place t through the E -470 workplan which aligns projects with strategic goals and priorities. In 2019, the process was further strengthened by the establishment of an Enterprise"
aebbed60-9d6d-4fd8-b4c2-ce747a609d26," Project Management Office (ePMO) to create structure around project intake process. The ePMO is supported by a dedicated innovation team.  While the PTC does not have a formal program, innovation is one of the core tenets that underpin their strategic plan and values. The CEO is a major champion of innovation and his leadership ensures that a culture of innovation extends across the organization through inclusive initiatives such as their Innovation Council.  The State Road and Tollway Authority’s ( SRTA) Executive Director is a strong champion for innovation and is instrumental in ensuring it is part of the agency culture. As one of the agency’s five core v alues and with a dedicated position (director of innovation and strate gy) to make sure that innovation discussions happen across all departments and opportuniti es are aligned with strategic priorities , innovation has become embedded into the culture of the agency. Making innovation viable and sustainable requires embedding it into the organizational"
aebbed60-9d6d-4fd8-b4c2-ce747a609d26," culture, within a structured environment and with performance measures. Tolling organizations embrac e innovation as way to make meaningful changes in business practices and advanc e emerging technologies and mobility trends. However, even with a strong commitment to innovation, it is often conduc ted “ad hoc ” and without focus on building a culture or formal process(es) to support innovation. Without a culture to support innovation, employees can easily confuse innovation with concepts like creativity or change. The concept of change often evokes a wide range of feelings and interpretations ranging from creating an unacceptable exposure to risk or on a more personal level, threatening an employee’s (or department’s) function or workload. This can lead to the pursuit of “ opportunistic initiatives ” or those that arise through immediate circumstances or on the spur of the moment without reference to a strategic plan or vision. For example, workplace restrictions due to the COVID -19 pandemic may have"
aebbed60-9d6d-4fd8-b4c2-ce747a609d26," spurred the adoption of new or expansion of workplace collaboration t ools, policies and practices (e.g., Zoom and Microsoft Teams platforms, policies t o support electronic document approvals and signatures, and telecommuting policy. Opportunistic initiatives aren’t inherently wrong or a bad practice; however, innovation programs that rely heavily on them compromise the long- term sustainability and limit the benefit derived through innovation, thus undermining the intent behind 4 Emerging Technologies Committee Building Innovat ion Capacity : Toll Industry Practice And Trends 8 of 23 embracing it in the first place. Addressing this requires building a culture that supports innovation and includes the structure and resources to support it. Innovation also thrive s in a formal, well-structured and supportive environment . Such operating models often consist of a small central team who manage processes, act as an “innovation hub,” and help innovation advocates from different departments launch initiatives. D"
aebbed60-9d6d-4fd8-b4c2-ce747a609d26," edicated management, technical, and data analytics innovation staff with trusted access to systems and data will facilitate momentum for innovation. Typically, innovation can be frustrated or throttled due to dependence upon staff or systems that are focused on day to day operations. As such, the pace and benefits of i nnovation will likely be slowed or not fully realized. Another important component of a formal structure is measuring innovation performance. Doing so enables organizations to show that the time, all the activity, and all the capabilities being spent to push innovation is worth the time , effort and money spent. Doing so helps to justify and secure funding for continued program support or for testing and/or deploy ing an innovation or technology. For an organization producing products or services, measures migh t be gross margin, number of new patent s, or sales from new products or services . For public sector organizati ons, examples of measures could be “friction” (how easy is it to move an"
aebbed60-9d6d-4fd8-b4c2-ce747a609d26," idea from initial intake to final testing or deploy ing the idea) and “velocity” (the number of innovations that can be accomplished in a period of time). This scan indicate s this is an area in which tolling industry organizations could use additional guidance on or sharing of best practice. An emerging trend is the use of an ePMO to support innovation and technology programs. The concept is not dissimilar from program management for infrastructure programs or megaproject s. Infrastructure projects typically employ a management and technical team solely focused on the delivery of infrastructure improvements from concept through opening . Particularly among larger organizations interested in supporting innovation within departments and business units, we see the ePMO model enhanced by the adoption of larger cross - departmental innovation teams. These cross -cutting innovation teams enable “quick win” business or operations improvements and meet on a monthly or quarterly basis to share and celebrate"
aebbed60-9d6d-4fd8-b4c2-ce747a609d26," successes . Highlights:  E-470 has implemented an ePMO for innovation. The Illinois tollway is in the process of developing an ePMO to support back -end, business systems innovation.  The PTC considers innovation a part of every individual’s role, and a fundamental part of the agency’s culture. The agency’s cross -departmental Innovation Council was created through formal policy and now follows a regular cadence and is refreshed with a new internal chairperson every 2 years. It is the key mechanism for external vendors and business partners to present new technologies and products . Emerging Technologies Committee Building Innovat ion Capacity : Toll Industry Practice And Trends 9 of 23  Instilling innovation into the culture of an organization begins with who they hire and how they build staff at SRTA. With innovation as a core value, they hire and staff with that in mind. Thinking outside of the box , questioning how things get done, and finding better ways to do things are encouraged at the onset of an"
aebbed60-9d6d-4fd8-b4c2-ce747a609d26," employee’ s tenure with the agency. Data is a critical element of innovation programs; organizations are increasingly recognizing the importance of data centralization (and data sharing) and the need for specialized staff. The need for flexibility and ownership of data is becoming increasingly apparent in our industry. Strategic decisions regarding operational improvements and technology investments often depend on data analytics. The inability to easily access and analyze data can hinder the decision- making process. For example, w hile our el ectronic tolling systems generate a wealth of data, the data is frequently residing with an outside contractor , fragmented among multiple internal departments or lack an accessible user -friendly interface for running queries and conducting analytics . Often , data that is later required to meet a business need is not anticipated at the time of procurement, so contracts are not written to give the agency access to data in a convenient way . Throughout this"
aebbed60-9d6d-4fd8-b4c2-ce747a609d26," assessment, the following observations were frequently overheard: “There’s a lot of data being collected, and it is not always readily available for analysis or use.” And “Data is often in the hand of the integrator —it often takes too long to access , contracts do not specify the task of manipulating and pushing data forward.” Financial systems also have data challenges —not all are tracked using a modern approach and business is focused on operations (e.g., tag fulfillment and revenue generation) and less so on reporting or business analytics solutions. Finally, having access to data is not of much value without the staffing , resources or an organized plan to use the data . A challenge to organizations is to demonstrate the rate of return for a data pl atform investment —how much they are willing to expend for the ROI return (e.g., quicker analytics). Consolidating data into a central, accessible database has been given a high priority among many innovation programs. Tolling organizations are starting to"
aebbed60-9d6d-4fd8-b4c2-ce747a609d26," implement internal data platforms designed to consolidate disparate data and provide convenient agency -wide access for analysis and potential dissemination to the public . Technology solutions frequently come with new data needs; they require specific data inputs, and they also generate new datasets of their own. Organizations that get ahead of these developments by hiring specialized staff and establishing adaptable data pl atforms make it easier to test and implement emerging technologies. But, doing it right requires awareness of needs. 5 Emerging Technologies Committee Building Innovat ion Capacity : Toll Industry Practice And Trends 10 of 23 In determining needs, organizations need to recognize the importance of both business and functional expertise. For example, as shared by Deloitte:3 “A properly staffed data initiative may include design-thinking skills to help conceptualize a solution, functional domain knowledge to help identify high- value use cases and shape the solution, business skills to"
aebbed60-9d6d-4fd8-b4c2-ce747a609d26," articulate a compelling business case, data engineering skills to provide access to the right data in the form needed, and, for Artificial Intelligence (AI) projects, AI skills to drive execution of a variety of AI technologies. Success depends on more than technology talent—it requir es the right mix of skills and expertise.” Tolling organizations shared insights on their interests and resources related to data in the industry scan survey. When asked about the types of data science disciplines their organizations are investing, the vas t majority of respondents (90%) indicated “data analysis.” But they also recognize the need for more advanced disciplines requiring predictive modeling, statistical analysis, and AI (69%, 59%, and 31%, respectively) . And, given the importance survey respondents placed on data analysis as a priority discipline, it’s not surprising that nearly all organizations (96%) say they have hired one or more data analyst. See Figure 1 below . Figure 1: Data -related Disciplines Figure"
aebbed60-9d6d-4fd8-b4c2-ce747a609d26, 2: Data -related Positions The industry scan demonstrates that organizations do recognize the value of data and are giving it significant thought. This work ing group collaborated closely with the Big Data work ing group. 3 https://www2.deloitte.com/us/en/insights/focus/signals- for-strategists/democratization -of-data -science -talent- gap.html 90%69%59%48%31%7%3% 0% 20% 40% 60% 80% 100%Data analysisPredictive ModellingStatisticsData miningArtificial intelligenceNot sure/Don't knowOther (specify) 0% 20% 40% 60% 80% 100%Data engineerData architectInnovation director or managerData security specialistDatabase director or managerData director or managerDatabase developerData analyst0 or NS 1 or moreEmerging Technologies Committee Building Innovat ion Capacity : Toll Industry Practice And Trends 11 of 23 For more in -depth guidance on getting started or evolving a data strategy refer to their 2019 and 2020 White Paper s. Highlights:  The Central Texas Regional Mobility Authority’s (CTRMA) toll and ITS project
aebbed60-9d6d-4fd8-b4c2-ce747a609d26," host server is currently operated by the agency’s toll system integ rator with data analytic functions primarily handled by outside consultants . For data analytics, Tableau is used to create performance and operations dashboards . CTRMA’s ability to analyze data and advance data- driven projects is constrained by dependence upon the toll system integrator’s data platform that requires spec ialized management skills . CTRMA is actively pursuing development of an internal consolidated data solution that pulls in information such as transaction and customer data as well as roadway operation and performance information. This new platform will allow the Authority to manage and process data more efficiently and evaluate the information in a more int elligent manner. Consultant resources will be used for more complex data analytic efforts at least until after the new system is operational .  At SRTA, the innovation staff are keepers of the data. They have found that the ability to easily access and manipulate"
aebbed60-9d6d-4fd8-b4c2-ce747a609d26," their data makes them better positioned to address operational and business deficiencies. SRTA also hired a contractor to evaluate and identify their data need and create a strategic plan around data. This process helped establish an enterprise data business plan for evaluation of data needs and manage all the initiatives. While the process is complex and takes time, they find value in it, and have completed the first phase.  NTTA is investing in an integrated business intelligence platform by pul ling in data from three to four systems both internal and external data feeds to the agency (e.g., back office data, demographics, DMV data, lane and toll data, phone system data). On the analytic s side, the platform enables basic structuring and reporting to assess trends and more sophis ticated analytics to identify anomalies in data and identify opportunities that can lead to cost reductions or efficiencies (e.g., a deep dive analysis related to toll collections to assess in state versus out of state license"
aebbed60-9d6d-4fd8-b4c2-ce747a609d26," plate or ski p tracing). The platform will also enable advanced, predictive modeling to drive improvements and assessments of operational impacts of alternative scenarios . Innovative organizations recognize the need for physical infrastructure and/or cooperative partnerships to deploy productive pilot d emonstrations. The ability to test new technologies in real -world settings is a contributing driver of innovation . When testing capabilities are limited by the lack of suitable roadside infrastructure, legal barriers, or political opposition, the pace of technological innovation can slow down . Tolling organizations 6 Emerging Technologies Committee Building Innovat ion Capacity : Toll Industry Practice And Trends 12 of 23 are beginning to step up to welcome innovation by outfitting their own designated test corridors for real -world testing and through public – private partnerships on technology demonstrations . As pointed out in Dedicating Lanes for Priority or Exclusive Use by Connected and Automated"
aebbed60-9d6d-4fd8-b4c2-ce747a609d26," Vehicles,4 tolled managed lanes offer a good testbed for emerging autonomous vehicle technologies . That’s because they are designed to manage traffic and to minimize vehicle interaction to keep vehicles moving. These characteristics reduc e the complexity and lower the risk of testing prototype semi or fully auto nomous vehicles at high speeds in a real -world environment . As “real -world” testing of emerging technology progresses, developers are encountering unexpected challenges and complex challenges . For example, t he ITS JPO conducted a review of the Tampa Hillsborough Express way Authority Connected Vehicle Pilot and found that “the complexities of field testing and technology integration were significantly underestimated”.5 While this is not the case for every joint venture or partnership, public and private sector collaborators should be prepared for unexpected challenges and difficulties. Highlights:  At the forefront is SunTrax, a large- scale, cutting- edge facility developed by the Florida"
aebbed60-9d6d-4fd8-b4c2-ce747a609d26," Department of Transportation and Florida’s Turnpike Enterprise which is dedicated to the research, development and testing of emerging transportation technologies in a safe and controlled envir onment .  The Ohio Turnpike has partnered with the Ohio Department of Transportation (ODOT) to create the Drive Ohio initiative to promote smart mobility technology testing. One of Drive Ohio’s current initiatives is to esta blish the 33 Smart Mobility Corri dor (a 35- mile stretch of U.S. 33) by installing infrastructure for connected and autonomous vehicle testing.  The Tampa Hillsborough Expressway Authority (THEA) Connected Vehicle project funded through a US Department of Transportation Intelligent Transportations Systems Joint Program Office grant (ITS JPO) offered use of their Reversible Express Lanes (RELs ) for testing of connected vehicle technology. That pilot encompassed 47 roadside units (RSUs) deployed along THEA’s REL and in Tampa’s Central Business District. Technology- driven innovation calls for"
aebbed60-9d6d-4fd8-b4c2-ce747a609d26," flexible procurement processes. Across the board, organizations are eager to embrace innovation including emerging technology , provided it aligns wit h strategic projects and business needs. When purchasing emerging technology, organizations eventually face what appears to be a roadblock: traditional 4 National Academies of Sciences, Engineering, and Medicine. 2018. Dedicating Lanes for Priority or Exclusive Use by Connected and Autom ated Vehicles . Washington, DC: The National Academies Press. https://doi.org/10.17226/25366 5 See https://aashtojournal.org/2020/10/23/usdot -tampa-connected-vehicle- pilot-more-complicated-than-expected/ 7 Emerging Technologies Committee Building Innovat ion Capacity : Toll Industry Practice And Trends 13 of 23 procurement systems. This is particularly true for public organizations. The traditional procurement process can be time consuming and is often predicated on competition among various vendors. Innovative technologies are often sole source with limited competition or"
